鄉鎮市區,交易標的,建物型態,主要用途,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,車位類別,電梯,公設比,屋齡,豪宅,面積大小,移轉層次_數字,總樓層數_數字,移轉層次_級距
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,70.09,3,2,1,0,10250000,146241,無車位,0,0,48.96164384,0,中,4,4,一到五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,116.43,3,2,2,0,21800000,187237,無車位,0,0,40.76986301,0,中,3,5,一到五層
文山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,87.26,1,2,1,1,18300000,221358,坡道機械,1,0.4161,6.98630137,0,中,4,5,一到五層
文山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,223.29,3,2,2,1,63000000,320376,坡道平面,1,0.3984,13.47945205,0,大,13,22,十一到十五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,99.18,3,2,2,0,20000000,201654,無車位,0,0,45.30684932,0,中,3,5,一到五層
文山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,154.7,3,2,3,1,31500000,203620,坡道機械,1,0.4032,15.63013699,0,中,1,7,一到五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,71.4,2,1,1,0,11000000,154062,無車位,0,0,42.59452055,0,中,2,5,一到五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,99.18,2,2,2,1,17200000,173422,無車位,0,0.2034,26.33424658,0,中,3,3,一到五層
大同區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,85.81,2,2,1,0,12700000,148001,無車位,0,0,42.94520548,0,中,5,5,一到五層
大同區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,100.82,2,2,1,1,21000000,218272,塔式車位,1,0.4286,9.605479452,0,中,2,7,一到五層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,46.08,1,1,1,1,11000000,238715,無車位,1,0,45.29589041,0,小,7,12,六到十層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,104,2,2,1,1,26150000,251442,無車位,1,0.3694,13.20273973,0,中,7,13,六到十層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,43.63,0,0,0,1,9750000,223470,無車位,1,0.1948,46.50136986,0,小,11,11,十一到十五層
內湖區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,175.3,3,2,2,1,43000000,293372,坡道平面,1,0.4681,8.298630137,0,大,6,11,六到十層
內湖區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,267.72,0,0,0,1,72500000,317392,坡道平面,1,0.4695,6.397260274,0,大,21,29,二十層以上
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,31.66,1,1,1,1,9150000,289008,無車位,1,0.3414,27.43561644,0,小,8,11,六到十層
內湖區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,79.02,3,2,1,0,14000000,177170,無車位,0,0,41.56986301,0,中,4,5,一到五層
中山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,123.15,2,2,2,1,34050000,276492,無車位,1,0.1611,36.66027397,0,中,7,7,六到十層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),辦公用,73.62,3,2,2,0,28000000,380331,無車位,1,0.3499,1.37260274,0,中,5,13,一到五層
內湖區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,88.63,2,1,3,0,14000000,157960,無車位,0,0.136,39.40273973,0,中,4,5,一到五層
內湖區,房地(土地+建物),華廈(10層含以下有電梯),辦公用,93,1,1,1,1,16630000,178817,無車位,1,0.4549,9.575342466,0,中,3,7,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,57.66,2,1,1,1,9500000,164759,無車位,1,0.2792,42.1260274,0,小,6,12,六到十層
內湖區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,189.79,3,2,2,1,43000000,226566,坡道平面,1,0.399,18.98356164,0,大,5,11,一到五層
內湖區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,88.6,3,2,1,0,16200000,182844,無車位,0,0,40.01643836,0,中,3,5,一到五層
內湖區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,106.04,3,2,2,0,18800000,177292,無車位,0,0.1957,41.10410959,0,中,2,5,一到五層
松山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,95.59,3,2,2,0,25000000,261534,無車位,1,0.0501,42.91232877,0,中,2,7,一到五層
南港區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,178.08,3,2,2,1,42580000,249049,坡道機械,1,0.4078,13.70958904,0,大,6,7,六到十層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,72.82,4,0,4,0,17080000,234551,無車位,0,0,45.91232877,0,中,3,4,一到五層
士林區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,148.79,3,2,2,1,50000000,336044,無車位,1,0.3631,6.652054795,0,中,5,11,一到五層
北投區,房地(土地+建物),華廈(10層含以下有電梯),住家用,112.96,3,2,2,1,15380000,136154,無車位,1,0.0637,39.71780822,0,中,2,7,一到五層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,131.68,4,1,3,0,20090000,152567,無車位,0,0,53.19178082,0,中,3,4,一到五層
北投區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),商業用,140.25,2,2,2,1,23500000,190704,坡道平面,1,0.4571,10.6,0,中,2,14,一到五層
士林區,房地(土地+建物),華廈(10層含以下有電梯),住家用,123.08,3,2,2,1,27980000,227332,無車位,1,0.1181,42.56712329,0,中,6,7,六到十層
北投區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,83.83,1,1,1,1,19080000,227603,無車位,1,0.2753,21.48219178,0,中,24,25,二十層以上
北投區,房地(土地+建物),華廈(10層含以下有電梯),住家用,24,0,0,0,1,4950000,206250,無車位,1,0.3504,16.44657534,0,小,6,10,六到十層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,93.04,3,2,1,0,18500000,198839,無車位,0,0,44.46849315,0,中,4,5,一到五層
大安區,房地(土地+建物),華廈(10層含以下有電梯),住家用,37.56,1,2,1,1,15380000,409478,無車位,1,0,45.25205479,0,小,6,7,六到十層
大安區,房地(土地+建物),華廈(10層含以下有電梯),住家用,129.96,5,3,3,0,52500000,403970,無車位,1,0,46.60821918,0,中,7,7,六到十層
大安區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,126.37,3,2,2,1,34600000,273799,無車位,1,0.1279,42.56986301,0,中,15,16,十一到十五層
大同區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,162.56,3,2,2,1,62000000,432900,坡道機械,1,0.4232,1.334246575,0,中,15,19,十一到十五層
南港區,房地(土地+建物),華廈(10層含以下有電梯),住家用,176.78,3,2,2,1,26000000,147075,無車位,1,0.3754,20.64383562,0,大,8,9,六到十層
文山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,88.9,2,2,1,1,19900000,223847,無車位,1,0.1092,28.74794521,0,中,8,16,六到十層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,80.81,1,1,1,0,21080000,260859,無車位,0,0,46.73972603,0,中,1,4,一到五層
中正區,房地(土地+建物),華廈(10層含以下有電梯),住家用,39.77,1,1,1,1,13750000,345738,無車位,1,0.3923,16.21369863,0,小,2,7,一到五層
文山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,41.91,1,1,1,1,10680000,254832,無車位,1,0.3515,9.312328767,0,小,7,11,六到十層
中正區,房地(土地+建物),華廈(10層含以下有電梯),住家用,177.54,4,2,2,0,44600000,251211,無車位,1,0.066,34.98082192,0,大,7,10,六到十層
中正區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,88.21,2,2,1,1,20500000,232400,塔式車位,1,0.4311,15.68493151,0,中,8,12,六到十層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,118.84,3,2,2,0,16420000,138169,無車位,0,0.0867,37.72054795,0,中,4,5,一到五層
中正區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,97.62,1,2,1,0,22100000,226388,無車位,0,0,48.93972603,0,中,1,4,一到五層
萬華區,房地(土地+建物),華廈(10層含以下有電梯),商業用,37.11,1,1,1,1,7700000,207491,無車位,1,0.1633,43.4109589,0,小,3,9,一到五層
萬華區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,108.92,4,2,2,1,18500000,169849,無車位,0,0.0493,36.47123288,0,中,1,5,一到五層
萬華區,房地(土地+建物),華廈(10層含以下有電梯),住家用,81.21,2,1,2,0,13508000,166334,無車位,1,0.0585,36.42465753,0,中,4,7,一到五層
萬華區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,189.85,3,2,2,1,39980000,210587,坡道平面,1,0.3916,12.86575342,0,大,9,15,六到十層
大同區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,79.05,2,2,1,1,27800000,351676,無車位,1,0.33,0.293150685,0,中,10,15,六到十層
中山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,50.49,1,1,1,1,15380000,315526,塔式車位,1,0.3753,16.6,0,小,10,13,六到十層
中山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,114.65,2,2,1,1,32800000,286088,無車位,1,0.408,9.610958904,0,中,6,7,六到十層
內湖區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,179.07,3,2,2,1,46500000,319953,坡道平面,1,0.4635,9.706849315,0,大,11,14,十一到十五層
中山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,99.06,3,2,2,0,19000000,191803,無車位,0,0.0925,39.73972603,0,中,3,5,一到五層
中山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,127.87,3,2,2,0,32000000,250254,無車位,1,0,46.7890411,0,中,6,6,六到十層
中山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,190.44,2,2,2,1,72000000,458771,坡道平面,1,0.5005,2.221917808,0,大,3,16,一到五層
中山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,104.19,2,2,1,0,22700000,217871,無車位,0,0,53.84383562,0,中,3,4,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,43.58,1,1,1,1,10550000,242084,無車位,1,0.3632,15.89863014,0,小,2,12,一到五層
信義區,房地(土地+建物),華廈(10層含以下有電梯),住家用,114.45,3,2,2,1,27500000,240301,無車位,1,0.1388,42.58082192,0,中,5,7,一到五層
信義區,房地(土地+建物),華廈(10層含以下有電梯),住家用,99.09,2,2,1,1,24580000,248057,無車位,1,0.2944,42.30958904,0,中,4,7,一到五層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,126.76,3,2,4,0,24180000,190754,無車位,0,0,43.06027397,0,中,5,5,一到五層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,96.25,2,1,1,0,11630000,120831,無車位,0,0.3938,47.61643836,0,中,3,4,一到五層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,108.57,3,2,2,0,18700000,172239,無車位,0,0.131,39.70136986,0,中,5,5,一到五層
南港區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,92.04,3,2,2,0,15800000,171664,無車位,0,0.0875,40.9890411,0,中,4,5,一到五層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,97,3,2,2,0,20200000,208247,無車位,0,0,46.09589041,0,中,5,5,一到五層
北投區,房地(土地+建物),華廈(10層含以下有電梯),住家用,82.06,2,1,1,1,15680000,191080,無車位,1,0.2559,29.07123288,0,中,5,7,一到五層
士林區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,125.07,2,2,1,1,27400000,270478,升降平面,1,0.5869,11.67671233,0,中,6,8,六到十層
北投區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,197.21,3,2,2,1,44600000,256176,升降平面,1,0.442,10.15616438,0,大,5,12,一到五層
士林區,房地(土地+建物),透天厝,住家用,25,1,1,1,0,12000000,480000,無車位,0,0,66.69863014,0,小,2.9615,1,全
北投區,房地(土地+建物),透天厝,住家用,75.24,2,2,2,0,12240000,162679,無車位,0,0,54.21917808,0,中,2.9615,2,全
大安區,房地(土地+建物),華廈(10層含以下有電梯),住家用,35.12,2,1,1,1,11200000,318907,無車位,1,0,53.43835616,0,小,5,6,一到五層
大安區,房地(土地+建物),華廈(10層含以下有電梯),其他,42.01,2,1,1,1,19010000,452511,無車位,1,0.0633,29.76712329,0,小,1,5,一到五層
大安區,房地(土地+建物),華廈(10層含以下有電梯),住家用,42.94,0,1,1,1,14150000,329530,無車位,1,0.317,37.05753425,0,小,4,10,一到五層
內湖區,房地(土地+建物)+車位,華廈(10層含以下有電梯),商業用,51.82,1,1,1,1,13200000,254728,升降機械,1,0.4643,15.88219178,0,小,1,7,一到五層
內湖區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,173.58,3,2,2,1,26200000,177812,坡道平面,1,0.4691,16.08767123,0,大,2,10,一到五層
中山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,185.16,3,2,2,0,43000000,245429,坡道平面,1,0.0309,44.33972603,0,大,6,7,六到十層
北投區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,138.3,2,1,1,1,19600000,141721,坡道平面,1,0.5551,14.91506849,0,中,3,19,一到五層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),其他,127.57,0,0,0,0,24000000,188132,無車位,0,0,45.31232877,0,中,1,5,一到五層
北投區,房地(土地+建物),透天厝,住家用,187.32,4,3,3,0,29000000,154815,無車位,0,0,54.40273973,0,大,2.9615,3,全
文山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,121.23,2,2,1,1,22200000,183123,坡道平面,1,0.4375,27.99726027,0,中,2,13,一到五層
文山區,房地(土地+建物),華廈(10層含以下有電梯),商業用,79.69,2,2,1,1,20200000,253482,無車位,1,0.2347,26.24383562,0,中,5,10,一到五層
文山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,88.21,3,2,1,1,18680000,211767,無車位,1,0.1247,32.07945205,0,中,3,8,一到五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,103.35,3,2,2,0,22900000,221577,無車位,0,0,45.63013699,0,中,4,5,一到五層
萬華區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,31.37,2,1,1,0,6400000,204017,無車位,0,0,49.24931507,0,小,4,5,一到五層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,179.8,5,2,2,1,45000000,250278,無車位,1,0.328,12.30958904,0,大,7,27,六到十層
大同區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,39.52,1,1,1,1,14110000,357034,無車位,1,0.3297,0.279452055,0,小,10,15,六到十層
萬華區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,67.05,2,2,1,0,11000000,164057,無車位,0,0,52.39452055,0,中,2,4,一到五層
中山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,104.81,4,0,4,1,23000000,219445,無車位,1,0.1486,44.89315068,0,中,5,7,一到五層
內湖區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,51.54,1,1,1,1,11700000,227008,無車位,1,0.3531,16.26027397,0,小,12,12,十一到十五層
內湖區,房地(土地+建物),華廈(10層含以下有電梯),住家用,54.35,2,1,1,1,12800000,235511,無車位,1,0.3286,27.90958904,0,小,2,4,一到五層
中山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,99.44,3,2,2,1,20200000,203138,無車位,1,0.0898,41.59178082,0,中,4,7,一到五層
中山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),商業用,157.6,2,2,1,1,41680000,323676,坡道平面,1,0.4972,13.62739726,0,中,5,10,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,36.69,1,2,1,1,11400000,310711,無車位,1,0.2666,25.21643836,0,小,8,14,六到十層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,32.31,1,1,1,1,6800000,210461,無車位,1,0.2408,41.59452055,0,小,4,12,一到五層
內湖區,房地(土地+建物),華廈(10層含以下有電梯),住家用,51.25,1,1,1,1,11000000,214634,無車位,1,0.3469,16.4630137,0,小,2,8,一到五層
內湖區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,68.49,2,1,1,0,16500000,240911,無車位,0,0.2262,30.0739726,0,中,1,7,一到五層
松山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,118.71,3,2,2,1,30880000,260130,無車位,1,0.2744,32.3369863,0,中,3,7,一到五層
南港區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,168.2,3,2,2,0,38000000,287015,坡道平面,1,0.5432,7,0,大,2,7,一到五層
松山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),辦公用,80.53,2,2,1,1,23560000,346202,坡道機械,1,0.5275,18.47945205,0,中,10,11,六到十層
松山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),商業用,150.24,0,0,0,1,40880000,272098,其他,1,0.4456,12.19726027,0,中,1,7,一到五層
南港區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,129.99,3,2,2,0,24000000,184630,無車位,0,0.2492,29.77808219,0,中,3,4,一到五層
松山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,65.21,0,0,0,0,22100000,338905,無車位,0,0,49.84657534,0,小,1,4,一到五層
信義區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,22.41,1,1,1,1,5450000,243195,無車位,1,0.0763,44.2739726,0,小,2,12,一到五層
松山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,33.85,0,1,1,1,8600000,254062,無車位,1,0.3973,15.78630137,0,小,5,11,一到五層
北投區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,167.92,2,2,2,1,38680000,278865,坡道平面,1,0.4569,0.739726027,0,大,23,24,二十層以上
北投區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,251.93,3,2,2,1,57500000,254995,坡道平面,1,0.4382,8.350684932,0,大,2,9,一到五層
北投區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,102.62,2,2,2,1,21000000,204638,坡道機械,1,0.3687,9.526027397,0,中,2,5,一到五層
士林區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,48.45,0,1,1,1,16500000,340557,無車位,1,0.3558,16.18630137,0,小,7,13,六到十層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,73.76,3,2,1,0,12500000,169469,無車位,0,0,49.59178082,0,中,2,4,一到五層
士林區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,259.83,4,2,3,1,57580000,237904,坡道平面,1,0.3767,20.15342466,0,大,3,14,一到五層
北投區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,216.63,3,2,2,1,66500000,342978,坡道平面,1,0.4434,0.487671233,0,大,3,13,一到五層
大安區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,165.22,5,0,5,1,50680000,306743,無車位,1,0.0639,40.3260274,0,中,12,12,十一到十五層
大安區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,54.47,1,1,1,1,20000000,367175,無車位,1,0.2368,49.14520548,0,小,5,16,一到五層
大安區,房地(土地+建物),華廈(10層含以下有電梯),住商用,173.12,1,1,1,0,57000000,329251,無車位,1,0.0323,39.99178082,0,大,1,7,一到五層
中正區,房地(土地+建物),公寓(5樓含以下無電梯),其他,44.88,2,1,1,0,10000000,222816,無車位,0,0,44.43287671,0,小,2,5,一到五層
萬華區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,93.2,3,2,2,0,20880000,224034,無車位,0,0,45.21369863,0,中,1,5,一到五層
中山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,60.06,1,1,1,1,20860000,357603,塔式車位,1,0.4897,8.391780822,0,小,4,6,一到五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,86.52,3,2,1,0,12500000,144475,無車位,0,0,53.19178082,0,中,4,4,一到五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,61.95,2,1,1,0,12150000,196126,無車位,0,0,50.17534247,0,小,3,4,一到五層
文山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,123.18,2,1,1,1,23348900,220830,坡道平面,1,0.4765,7.109589041,0,中,12,18,十一到十五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,138.39,4,2,2,0,24280000,175446,無車位,0,0,43.94520548,0,中,3,5,一到五層
文山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,134.04,3,2,2,0,24000000,179051,坡道平面,1,0.3021,30.61369863,0,中,4,6,一到五層
文山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,142.59,2,2,1,1,23800000,166912,坡道平面,1,0.4116,28.91506849,0,中,11,13,十一到十五層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,46.08,2,1,1,1,10400000,225694,無車位,1,0,45.33150685,0,小,10,12,六到十層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,62.74,1,1,1,1,14280000,227606,無車位,1,0.3346,7.219178082,0,小,8,22,六到十層
萬華區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,63,2,1,1,1,17200000,300766,塔式車位,1,0.4446,16.70684932,0,小,10,14,六到十層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,112.69,3,1,2,0,16000000,141982,無車位,1,0.0442,38.04657534,0,中,5,12,一到五層
萬華區,房地(土地+建物),華廈(10層含以下有電梯),商業用,33.64,1,1,1,1,8000000,237812,無車位,1,0.2218,46.98356164,0,小,3,9,一到五層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,63.09,3,1,1,0,12880000,204153,無車位,1,0,45.34520548,0,小,4,12,一到五層
中山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,88.02,2,2,1,1,17580000,298160,坡道機械,1,0.6343,16.51780822,0,中,5,12,一到五層
中山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,34.19,1,1,1,1,8500000,248611,無車位,1,0.1445,32.4630137,0,小,4,5,一到五層
內湖區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,258.48,4,2,2,1,58000000,261135,坡道平面,1,0.4622,17.05479452,0,大,10,10,六到十層
中山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,115.92,3,2,2,0,24600000,212215,無車位,0,0,49.08493151,0,中,2,4,一到五層
中山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),商業用,68.85,0,1,1,1,16200000,235294,坡道機械,1,0.5056,16.13972603,0,中,9,11,六到十層
內湖區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),商業用,162.47,0,0,0,1,26400000,187245,坡道平面,1,0.516,12.52328767,0,中,5,11,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,63.52,2,1,1,1,13500000,212531,無車位,1,0.1955,43.02465753,0,小,10,12,六到十層
中山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,40.77,1,1,1,1,12638000,309983,無車位,1,0.388,22.90136986,0,小,4,10,一到五層
南港區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),工業用,311.08,0,0,0,1,46000000,158787,坡道平面,1,0.1565,34.03561644,0,大,7,13,六到十層
南港區,房地(土地+建物),公寓(5樓含以下無電梯),工業用,79.2,3,1,1,0,14800000,186869,無車位,0,0,49.93972603,0,中,2,4,一到五層
信義區,房地(土地+建物),華廈(10層含以下有電梯),住家用,33.47,1,1,1,1,6900000,206155,無車位,1,0.2856,29.9890411,0,小,7,10,六到十層
松山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,164.08,3,2,2,1,42900000,287212,升降機械,1,0.4111,9.238356164,0,中,12,15,十一到十五層
信義區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,91.85,1,1,1,1,20000000,319489,坡道平面,1,0.6121,16.43287671,0,中,10,14,六到十層
信義區,房地(土地+建物),住宅大樓(11層含以上有電梯),辦公用,41.81,1,1,1,1,13380000,320019,無車位,1,0.3798,17.5260274,0,小,6,13,六到十層
南港區,房地(土地+建物),住宅大樓(11層含以上有電梯),其他,54.67,0,0,0,1,8600000,157307,無車位,1,0.3689,21.54520548,0,小,-1,12,地下層
信義區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,90.6,4,0,4,0,25380000,280132,無車位,0,0,55.33150685,0,中,4,4,一到五層
北投區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,91.39,3,2,1,0,18000000,196958,無車位,0,0.0776,39.91232877,0,中,2,5,一到五層
士林區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,289.24,4,2,3,1,68000000,235099,坡道平面,1,0.465,17.48493151,0,大,7,15,六到十層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,82.12,5,0,2,0,18180000,221383,無車位,0,0,45.57534247,0,中,5,5,一到五層
士林區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,29.48,1,1,1,0,5400000,183175,無車位,0,0,53.63013699,0,小,3,5,一到五層
士林區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,295,0,0,3,1,65880000,277840,坡道平面,1,0.4986,2.057534247,0,大,2,14,一到五層
北投區,房地(土地+建物),華廈(10層含以下有電梯),住家用,74.77,2,2,1,1,10950000,146449,無車位,1,0.1987,42.64657534,0,中,1,8,一到五層
北投區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,32.44,1,1,1,1,3360000,103576,無車位,1,0.3009,40.26849315,0,小,7,12,六到十層
士林區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,36.3,0,0,0,1,11950000,329201,無車位,1,0.3468,16.20821918,0,小,9,13,六到十層
大安區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,212.48,4,2,3,1,69000000,324736,無車位,1,0.1151,42.55890411,0,大,3,14,一到五層
大安區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,117.08,3,2,2,1,49880000,426033,一樓平面,1,0.4761,14.02191781,0,中,3,7,一到五層
大安區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,54.77,1,1,1,1,17000000,344986,塔式車位,1,0.5074,9.183561644,0,小,2,7,一到五層
大安區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,94.53,2,2,1,1,30000000,317360,無車位,1,0.2226,49.13972603,0,中,14,16,十一到十五層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,44.35,1,1,1,1,9200000,207441,無車位,1,0.2877,24.57534247,0,小,5,11,一到五層
中山區,房地(土地+建物),華廈(10層含以下有電梯),辦公用,63.31,2,1,1,1,18200000,287474,無車位,1,0.3563,13.83561644,0,小,6,7,六到十層
松山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,74.09,2,2,1,0,15600000,210555,無車位,0,0,52.71232877,0,中,3,4,一到五層
大安區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,215.92,3,2,2,1,45000000,208411,坡道平面,1,0.3321,42.10958904,0,大,6,7,六到十層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,90.98,3,2,1,0,15500000,170367,無車位,0,0.0755,38.48219178,0,中,4,5,一到五層
文山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,71.37,2,1,2,1,15523200,217503,無車位,1,0.2302,28.73424658,0,中,5,7,一到五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,100.82,3,2,1,0,16300000,161674,無車位,0,0.0694,38.45205479,0,中,2,5,一到五層
