鄉鎮市區,交易標的,建物型態,主要用途,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,車位類別,電梯,公設比,屋齡,豪宅,面積大小,移轉層次_數字,總樓層數_數字,移轉層次_級距
大安區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,293.24,0,2,2,1,80000000,318638,坡道平面,1,0.5028,6.624657534,1,大,12,12,十一到十五層
萬華區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,175.11,3,2,2,1,31660000,198749,升降機械,1,0.4003,14.51506849,0,大,10,19,六到十層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,37.31,1,1,1,1,11300000,302868,無車位,1,0.2975,16.84657534,0,小,3,12,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,35.75,0,0,0,1,8500000,237762,無車位,1,0.2959,43.55616438,0,小,12,14,十一到十五層
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,107.6,3,2,2,0,19560000,181784,無車位,0,0,43.27123288,0,中,4,5,一到五層
信義區,房地(土地+建物),住宅大樓(11層含以上有電梯),辦公用,42.98,1,1,1,1,12450000,289670,無車位,1,0.3674,17.63013699,0,小,3,13,一到五層
北投區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,332.5,3,2,2,1,67380000,202647,坡道平面,1,0.4969,7.893150685,0,大,2,9,一到五層
松山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,77.36,2,2,1,1,21800000,281799,無車位,1,0.154,41.57808219,0,中,3,15,一到五層
松山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,129.13,3,2,2,1,30200000,233873,無車位,1,0.1162,46.09589041,0,中,8,13,六到十層
內湖區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,73.68,2,1,1,1,22060000,299403,無車位,1,0.2086,25.88219178,0,中,12,14,十一到十五層
松山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,61.89,2,1,1,1,16200000,261755,無車位,1,0.1577,40.54520548,0,小,6,7,六到十層
